"Name","removal_rate","best_dev_f1","learning_rate","number_of_removal_annotations","number_of_removal_surfaceforms","current_iteration","number_of_annotations","Runtime","batch_size","State","Notes","User","Tags","Created","Sweep","dataset","dev_file","dev_instances","dev_num","device","digit2zero","dropout","embedding_dim","embedding_file","hidden_dim","iteration_time","l2","lr_decay","model_folder","momentum","num_epochs","num_outer_iterations","optimizer","project_name","res_folder","seed","sweep_file","sweep_method","tagging_scheme","test_file","test_instances","test_num","train_file","train_instances","train_num","use_char_rnn","variant","dev_f1","dev_precision","dev_recall","epoch","loss","number of instances in dev set","number of instances in test set","number of instances in train set","best_test_f1","test_f1","test_precision","test_recall","entity_name","removal_method"
"pretty-sweep-2","0.5","0.7845350052246605","0.001","7114","2771","","14227","17671","72","finished","-","possible961","","2022-10-08T02:02:01.000Z","zyh7cqj9","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.7764512144915604","0.7481158270527568","0.8070175438596491","300","58157.3935546875","2754","8738","16895","0.7867598575761572","0.7867598575761572","0.7780386019822639","0.795678847692718","Disease","remove_annotation_ranomly"
"warm-sweep-2","0.5","0.5857923497267759","0.001","1239","373","","2500","14187","72","finished","-","possible961","","2022-10-08T21:20:26.000Z","t78uxvys","data/CellLine/BIOES","dev_BIOES.txt","2001","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","6146","-1","train_BIOES.txt","12592","-1","1","hard","0.5695792880258899","0.5534591194968553","0.5866666666666667","300","2696.8701171875","2001","6146","12592","0.5346373268133658","0.5346373268133658","0.5439469320066335","0.5256410256410257","CellLine","remove_surfaceforms_randomly"
"brisk-sweep-2","0.5","0.5098347757671126","0.001","2624","198","4","5290","18974","72","finished","-","possible961","","2022-10-10T12:42:39.000Z","8sbrp9qt","data/Species/BIOES","dev_BIOES.txt","2555","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","7431","-1","train_BIOES.txt","15195","-1","1","hard","0.5011600928074246","0.6721991701244814","0.3995067817509248","300","4363.480529785156","2555","7431","15195","0.45950190711240746","0.45950190711240746","0.6538952745849298","0.3542026980283639","Species","remove_surfaceforms_randomly"
"skilled-sweep-2","0.5","0.6697459584295613","0.001","1250","807","","2500","14231","72","finished","-","possible961","","2022-10-08T14:36:32.000Z","i9tgg3pd","data/CellLine/BIOES","dev_BIOES.txt","2001","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","6146","-1","train_BIOES.txt","12592","-1","1","hard","0.6412556053811659","0.6470588235294118","0.6355555555555555","300","2259.4296875","2001","6146","12592","0.6176720475785896","0.6176720475785896","0.6573236889692586","0.5825320512820513","CellLine","remove_annotation_ranomly"
"vocal-sweep-2","0.5","0.7837150127226462","0.001","7114","2744","","14227","17288","72","finished","-","possible961","","2022-10-09T07:13:48.000Z","dwpi0vsm","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.7817876626101552","0.7669822972416632","0.7971758664955071","300","48107.16650390625","2754","8738","16895","0.7873459873459873","0.7873459873459873","0.7863509378741519","0.7883435582822086","Disease","remove_annotation_ranomly"
"expert-sweep-2","0.5","0.7792485055508112","0.001","7114","2760","","14227","17472","72","finished","-","possible961","","2022-10-08T21:32:40.000Z","zn093sff","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.7771021178444117","0.7619243421052632","0.7928968763371844","300","68127.39453125","2754","8738","16895","0.7879112062048675","0.7879112062048675","0.7900241351568785","0.7858095492131235","Disease","remove_annotation_ranomly"
"super-sweep-2","0.5","0.6102182777644519","0.001","7044","669","","14227","17309","72","finished","-","possible961","","2022-10-09T07:12:04.000Z","d18dlq7o","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.6058695124909047","0.6993281075027995","0.5344458707744972","300","9605.92138671875","2754","8738","16895","0.6039723141739393","0.6039723141739393","0.69278564031757","0.5353427580688184","Disease","remove_surfaceforms_randomly"
"major-sweep-2","0.5","0.5920502092050209","0.001","1238","358","","2500","13976","72","finished","-","possible961","","2022-10-08T13:40:09.000Z","taukkhop","data/CellLine/BIOES","dev_BIOES.txt","2001","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","6146","-1","train_BIOES.txt","12592","-1","1","hard","0.5776458951533135","0.5204991087344029","0.6488888888888888","300","2754.3388671875","2001","6146","12592","0.5415549597855227","0.5415549597855227","0.5187087307410124","0.5665064102564102","CellLine","remove_surfaceforms_randomly"
"volcanic-sweep-2","0.5","0.6127720640994976","0.001","7052","692","","14227","17334","72","finished","-","possible961","","2022-10-08T21:32:27.000Z","1buqvpwl","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.6123731271145482","0.7034980566352027","0.542148053059478","300","9511.01904296875","2754","8738","16895","0.6100756044614117","0.6100756044614117","0.6952738440539157","0.5434782608695652","Disease","remove_surfaceforms_randomly"
"glamorous-sweep-2","0.5","0.7808596231208976","0.001","7114","2756","","14227","17475","72","finished","-","possible961","","2022-10-08T11:48:34.000Z","z85vosk9","data/Disease/BIOES","dev_BIOES.txt","2754","-1","cuda:0","true","0.5","100","/home/dinglia/embeddings/glove.6B.100d.txt","200","5","1e-8","0","output","0","100","1","sgd","bilstm_partial_crf_new9","results","42","sweep/sweep.json","grid","BIOES","test_BIOES.txt","8738","-1","train_BIOES.txt","16895","-1","1","hard","0.7778716216216216","0.767819924968737","0.7881899871630296","300","78181.43017578125","2754","8738","16895","0.7804164172154594","0.7804164172154594","0.7785003317850033","0.7823419578554281","Disease","remove_annotation_ranomly"
